code,trade_date,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
00157,20260909,自然美,,,,0.455,0.455,+0.000,+0.00,,,
00158,20260909,万邦投资,,,,59.000,59.000,+0.000,+0.00,,,
00159,20260909,布莱克万矿业,0.060,0.060,0.048,0.049,0.057,-0.008,-14.04,400000,20872,
00160,20260909,汉国置业,0.660,0.670,0.650,0.670,0.665,+0.005,+0.75,198000,131585,
00162,20260909,世纪金花,0.048,0.048,0.038,0.038,0.040,-0.002,-5.00,18000,844,
00163,20260909,英皇国际,0.121,0.121,0.120,0.121,0.121,+0.000,+0.00,220000,26430,
00164,20260909,中国宝力科技,0.465,0.465,0.465,0.465,0.460,+0.005,+1.09,25000,11625,
00165,20260909,中国光大控股,6.440,6.445,6.315,6.325,6.440,-0.115,-1.79,4014538,25526258,
00166,20260909,新时代集团控股,0.033,0.033,0.033,0.033,0.033,+0.000,+0.00,100000,3300,
00167,20260909,万威国际,5.300,5.595,5.300,5.315,5.300,+0.015,+0.28,79033,423454,
00168,20260909,青岛啤酒股份,41.460,41.460,40.320,40.440,41.460,-1.020,-2.46,4216884,171071960,
00169,20260909,万达酒店发展,0.091,0.091,0.088,0.089,0.091,-0.002,-2.20,358000,31774,
00171,20260909,银建国际,,,,0.058,0.058,+0.000,+0.00,,,
00173,20260909,嘉华国际,2.050,2.075,2.045,2.050,2.050,+0.000,+0.00,229000,469745,
00174,20260909,盛洋投资,,,,0.172,0.172,+0.000,+0.00,,,
00175,20260909,吉利汽车,16.920,16.980,16.520,16.600,16.920,-0.320,-1.89,35267185,589122250,
00176,20260909,先机企业集团,,,,0.013,0.013,+0.000,+0.00,,,
00177,20260909,江苏宁沪高速公路,9.965,10.100,9.950,10.100,9.965,+0.135,+1.35,3163802,31821816,
00178,20260909,莎莎国际,1.010,1.025,1.000,1.010,1.010,+0.000,+0.00,2886000,2930490,
00179,20260909,德昌电机控股,18.800,19.940,18.580,19.560,18.580,+0.980,+5.27,6265477,122540474,
00180,20260909,开达集团,0.180,0.180,0.176,0.195,0.196,-0.001,-0.51,100000,17688,
00181,20260909,闽港控股,0.077,0.077,0.077,0.080,0.085,-0.005,-5.88,500000,38500,
00182,20260909,协合新能源,0.330,0.360,0.325,0.355,0.330,+0.025,+7.58,19610000,6681350,
00183,20260909,宏辉集团,,,,0.145,0.145,+0.000,+0.00,,,
00184,20260909,激成投资,,,,2.400,2.400,+0.000,+0.00,,,
00185,20260909,正商实业,,,,0.079,0.079,+0.000,+0.00,,,
00186,20260909,敏捷控股,,,,0.370,0.370,+0.000,+0.00,,,
00187,20260909,京城机电股份,2.840,2.850,2.810,2.830,2.855,-0.025,-0.88,428000,1209450,
00188,20260909,新华汇富金融,,,,0.229,0.229,+0.000,+0.00,,,
00189,20260909,东岳集团,13.150,13.380,12.980,13.110,13.210,-0.100,-0.76,15145000,199305200,
00191,20260909,丽新国际,0.485,0.485,0.485,0.485,0.500,-0.015,-3.00,85000,41405,
00193,20260909,冠中地产,,,,0.195,0.195,+0.000,+0.00,7,1,
00194,20260909,廖创兴企业,4.245,4.245,4.245,4.245,4.235,+0.010,+0.24,2000,8490,
00196,20260909,宏华集团,0.106,0.106,0.101,0.102,0.106,-0.004,-3.77,823000,84170,
00197,20260909,亨泰,0.480,0.495,0.465,0.490,0.480,+0.010,+2.08,230750,108726,
00199,20260909,德祥地产,2.395,2.395,2.300,2.340,2.375,-0.035,-1.47,1446814,3386425,
00200,20260909,新濠国际发展,3.295,3.305,3.195,3.215,3.305,-0.090,-2.72,2429000,7818180,
00201,20260909,华大酒店,,,,0.061,0.061,+0.000,+0.00,,,
00202,20260909,润中国际控股,0.052,0.052,0.046,0.050,0.051,-0.001,-1.96,280000,13885,
00204,20260909,资本界金控,,,,0.090,0.090,+0.000,+0.00,,,
00205,20260909,BFB HEALTH,0.540,0.595,0.540,0.545,0.590,-0.045,-7.63,220000,125650,
00206,20260909,华商能源,0.229,0.233,0.220,0.222,0.225,-0.003,-1.33,1214000,275271,
00209,20260909,万维智能科技,0.400,0.410,0.400,0.405,0.405,+0.000,+0.00,554000,223590,
00210,20260909,达芙妮国际,0.310,0.310,0.290,0.300,0.310,-0.010,-3.23,106000,31820,
00211,20260909,大凌集团,0.260,0.260,0.236,0.260,0.260,+0.000,+0.00,44300,11099,
00212,20260909,南洋集团,,,,28.600,28.600,+0.000,+0.00,,,
00213,20260909,乐声电子,,,,0.365,0.360,+0.005,+1.39,,,
00214,20260909,汇汉控股,0.219,0.219,0.219,0.219,0.219,+0.000,+0.00,4126,901,
00215,20260909,和记电讯香港,1.140,1.145,1.135,1.140,1.140,+0.000,+0.00,748000,854400,
00216,20260909,建业实业,,,,0.455,0.455,+0.000,+0.00,,,
00217,20260909,中国诚通发展集团,0.114,0.114,0.111,0.114,0.114,+0.000,+0.00,488000,54386,
00218,20260909,申万宏源香港,0.945,0.985,0.945,0.950,0.945,+0.005,+0.53,345000,332625,
00219,20260909,顺豪物业,,,,0.695,0.695,+0.000,+0.00,,,
00220,20260909,统一企业中国,7.470,7.470,7.175,7.290,7.445,-0.155,-2.08,22575377,163816280,
00222,20260909,闽信集团,2.780,2.780,2.730,2.730,2.800,-0.070,-2.50,16000,44080,
00223,20260909,易生活控股,0.075,0.075,0.073,0.073,0.071,+0.002,+2.82,240000,17760,
00224,20260909,建生国际,,,,0.575,0.575,+0.000,+0.00,,,
00225,20260909,博富临置业,5.100,5.100,5.100,5.100,5.100,+0.000,+0.00,10000,51000,
00227,20260909,第一上海,0.150,0.151,0.150,0.151,0.154,-0.003,-1.95,280000,42168,
