"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	000959","2025-05-27","CN","左侧","70.0","3.52","3.59","0.0199","否"
"	000959","2025-07-01","CN","右侧","75.0","3.51","4.49","0.2792","是"
"	000959","2025-12-03","CN","右侧","75.0","4.52","5.04","0.115","是"
"","","","","","","","",""
"	000960","2025-08-20","CN","右侧","90.0","19.55","23.14","0.1836","是"
"","","","","","","","",""
"	000962","2025-06-13","CN","左侧","70.0","16.32","17.17","0.0521","否"
"	000962","2025-11-17","CN","左侧","90.0","27.32","30.17","0.1043","是"
"	000962","2026-03-20","CN","左侧","70.0","43.68","47.88","0.0962","否"
"","","","","","","","",""
"	000967","2025-04-03","CN","左侧","90.0","5.4","6.37","0.1796","是"
"	000967","2025-06-11","CN","左侧","70.0","6.63","7.23","0.0905","否"
"	000967","2025-07-14","CN","左侧","75.0","6.3","7.62","0.2095","是"
"	000967","2025-09-08","CN","左侧","90.0","7.0","7.54","0.0771","否"
"	000967","2025-10-16","CN","左侧","70.0","6.99","7.25","0.0372","否"
"	000967","2026-02-05","CN","左侧","70.0","7.13","9.7","0.3604","是"
"","","","","","","","",""
"	000973","2025-05-26","CN","右侧","100.0","6.86","6.93","0.0102","否"
"	000973","2025-08-13","CN","右侧","85.0","6.97","7.99","0.1463","是"
"	000973","2025-10-16","CN","左侧","75.0","7.8","12.4","0.5897","是"
"	000973","2026-01-22","CN","左侧","70.0","13.0","14.82","0.14","是"
"","","","","","","","",""
"	000975","2025-05-27","CN","左侧","70.0","19.88","21.07","0.0599","否"
"	000975","2025-07-24","CN","右侧","100.0","19.03","19.19","0.0084","否"
"	000975","2025-08-22","CN","左侧","75.0","18.5","22.2","0.2","是"
"","","","","","","","",""
"	000977","2025-05-28","CN","左侧","70.0","48.59","53.05","0.0918","否"
"	000977","2025-10-17","CN","左侧","70.0","65.97","71.0","0.0762","否"
"","","","","","","","",""
"	000981","2025-06-20","CN","左侧","70.0","2.02","2.45","0.2129","是"
"	000981","2025-08-18","CN","右侧","85.0","2.08","4.36","1.0962","是"
"","","","","","","","",""
"	000985","2025-06-16","CN","右侧","100.0","18.09","21.31","0.178","是"
"	000985","2025-08-20","CN","右侧","75.0","19.49","19.61","0.0062","否"
"	000985","2025-09-30","CN","右侧","85.0","17.61","19.34","0.0982","否"
"	000985","2025-11-24","CN","左侧","70.0","19.27","22.3","0.1572","是"
"	000985","2025-12-29","CN","右侧","90.0","19.55","22.98","0.1754","是"
"","","","","","","","",""
"	000988","2025-06-03","CN","左侧","70.0","42.37","47.46","0.1201","是"
"	000988","2025-10-17","CN","左侧","70.0","79.51","89.28","0.1229","是"
"	000988","2025-12-08","CN","右侧","75.0","79.93","84.95","0.0628","否"
"","","","","","","","",""
"	000989","2025-04-17","CN","右侧","90.0","8.62","9.5","0.1021","是"
"	000989","2025-06-03","CN","右侧","75.0","9.57","10.58","0.1055","是"
"	000989","2025-07-03","CN","右侧","75.0","10.13","13.3","0.3129","是"
"	000989","2025-08-14","CN","右侧","75.0","12.11","12.93","0.0677","否"
"	000989","2025-10-30","CN","右侧","90.0","9.93","10.84","0.0916","否"
"	000989","2026-01-13","CN","右侧","100.0","9.2","9.56","0.0391","否"
"	000989","2026-03-09","CN","左侧","70.0","8.75","9.79","0.1189","是"
"","","","","","","","",""
